domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,1,1,model.layers.1.mlp,49,0.015824096135916295,27.0,0.004374007048488812,33.0,0.0033611059993486955,31.0,0.015824096135916295,0.013713319640299766,0.008875360023667702
general,1,1,model.layers.1.mlp,50,0.01542266652854035,29.0,0.00477391915482881,27.0,0.0040421651068086525,24.0,0.01542266652854035,0.014967117926738438,0.010673769469033667
general,1,1,model.layers.1.mlp,51,0.014114782969025174,31.0,0.004406304528870558,32.0,0.003308672425226666,32.0,0.014114782969025174,0.013814578204161529,0.008736903560898943
general,1,1,model.layers.1.mlp,52,0.014555060602921372,30.0,0.0039790774038835075,35.0,0.0029415379505186552,41.0,0.014555060602921372,0.012475142291277514,0.007767445697694053
general,1,1,model.layers.1.mlp,53,0.021508857350046616,14.0,0.01005372257167461,3.0,0.00705682109482953,7.0,0.021508857350046616,0.03152027641288405,0.01863429116825282
general,1,1,model.layers.1.mlp,54,0.013700404019475811,33.0,0.004178236769009635,34.0,0.003096905656874421,36.0,0.013700404019475811,0.013099543670392195,0.008177710750395785
general,1,1,model.layers.1.mlp,55,0.012496115197347975,37.0,0.003734234934654382,40.0,0.003998804305087997,25.0,0.012496115197347975,0.011707515946637926,0.010559270632561311
general,1,1,model.layers.1.mlp,56,0.007614213197969543,63.0,0.002248430701595359,62.0,0.0019104260894164365,61.0,0.007614213197969543,0.007049245362028705,0.005044684501311201
general,1,1,model.layers.1.mlp,57,0.011110535584792292,46.0,0.002932520168600435,52.0,0.0026281830600681766,45.0,0.011110535584792292,0.009193992139893185,0.006939998581041418
general,1,1,model.layers.1.mlp,58,0.012237128353879623,39.0,0.004705132097453512,28.0,0.0036559558821724174,28.0,0.012237128353879623,0.01475145780217851,0.009653942687678854
general,1,1,model.layers.1.mlp,59,0.0266497461928934,5.0,0.008959262887023464,5.0,0.010381320109371877,5.0,0.0266497461928934,0.028088943238826134,0.027412986531656837
general,1,1,model.layers.1.mlp,60,0.008196933595773335,60.0,0.002047323876806433,63.0,0.0015817558651256103,63.0,0.008196933595773335,0.006418738337324866,0.004176795606939539
general,1,1,model.layers.1.mlp,61,0.017520459960633998,21.0,0.005666399451595359,20.0,0.004860887889775676,20.0,0.017520459960633998,0.017765208429692182,0.01283569457934544
general,1,1,model.layers.1.mlp,62,0.01644566456024034,24.0,0.004573362424165415,29.0,0.003385342348636734,30.0,0.01644566456024034,0.014338335548678291,0.008939358697209205
general,1,1,model.layers.1.mlp,63,0.013532062571221382,34.0,0.0036137390294791773,41.0,0.0030461069990301037,38.0,0.013532062571221382,0.01132973903757105,0.008043571458991471
general,2,2,model.layers.2.mlp,0,0.00946596912876826,54.0,0.003127986947872423,56.0,0.002955650349220846,55.0,0.00946596912876826,0.009086451829330182,0.003202608912240046
general,2,2,model.layers.2.mlp,1,0.017287371801512484,24.0,0.005626324778404382,29.0,0.006835160855700547,16.0,0.017287371801512484,0.016343843477323653,0.007406270866522319
general,2,2,model.layers.2.mlp,2,0.010929244794364447,47.0,0.0037052633107097534,44.0,0.0038819645820337015,44.0,0.010929244794364447,0.010763375023239324,0.004206321079453362
general,2,2,model.layers.2.mlp,3,0.010916295452191029,48.0,0.0034199415013467316,50.0,0.0031155468310397065,52.0,0.010916295452191029,0.009934547115757862,0.0033758655012150933
general,2,2,model.layers.2.mlp,4,0.013091784937325183,36.0,0.004072264613332642,40.0,0.005897401427020591,25.0,0.013091784937325183,0.011829472712634261,0.00639015720320647
general,2,2,model.layers.2.mlp,5,0.002369729617735419,64.0,0.000668032409168458,64.0,0.0007227461203881821,64.0,0.002369729617735419,0.0019405593461536894,0.0007831349763859219
